Index       TIME          {V(VOUT)+1.0}      {V(IN)+1.0}          V(1)       
0        0.00000000e+00    1.00000000e+00    6.00000000e+00    5.00000000e+00
1        7.50000000e-09    1.00000000e+00    6.00000000e+00    5.00000000e+00
2        2.25000000e-08    1.00000000e+00    6.00000000e+00    5.00000000e+00
3        5.25000000e-08    1.00000000e+00    6.00000000e+00    5.00000000e+00
4        1.12500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
5        2.32500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
6        3.82500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
7        5.32500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
8        6.82500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
9        8.32500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
10       9.82500000e-07    1.00000000e+00    6.00000000e+00    5.00000000e+00
11       1.13250000e-06    1.00000000e+00    6.00000000e+00    5.00000000e+00
12       1.28250000e-06    1.00000000e+00    6.00000000e+00    5.00000000e+00
13       1.43250000e-06    1.00000000e+00    6.00000000e+00    5.00000000e+00
14       1.50000000e-06    1.00000000e+00    6.00000000e+00    5.00000000e+00
15       1.50003125e-06    9.99703061e-01    5.99908073e+00    4.96875000e+00
16       1.50009375e-06    9.98412094e-01    5.99387714e+00    4.90625000e+00
17       1.50015625e-06    9.96869893e-01    5.98705301e+00    4.84375000e+00
18       1.50028125e-06    9.92985973e-01    5.96430887e+00    4.71875000e+00
19       1.50040625e-06    9.88882024e-01    5.93053948e+00    4.59375000e+00
20       1.50053125e-06    9.84991315e-01    5.88699401e+00    4.46875000e+00
21       1.50078125e-06    9.77949409e-01    5.77507735e+00    4.21875000e+00
22       1.50103125e-06    9.71665136e-01    5.63509362e+00    3.96875000e+00
23       1.50128125e-06    9.65818049e-01    5.47272506e+00    3.71875000e+00
24       1.50153125e-06    9.60135130e-01    5.29250100e+00    3.46875000e+00
25       1.50178125e-06    9.54373248e-01    5.09803070e+00    3.21875000e+00
26       1.50228125e-06    9.29841879e-01    4.61544375e+00    2.71875000e+00
27       1.50268249e-06    9.14278902e-01    4.17253861e+00    2.31751149e+00
28       1.50274209e-06    9.16873118e-01    4.11287904e+00    2.25790546e+00
29       1.50280170e-06    9.20039252e-01    4.05307384e+00    2.19829944e+00
30       1.50292091e-06    9.31050725e-01    3.93432245e+00    2.07908738e+00
31       1.50304012e-06    9.49703511e-01    3.81690407e+00    1.95987532e+00
32       1.50315934e-06    9.77924012e-01    3.70095821e+00    1.84066326e+00
33       1.50327855e-06    1.01817111e+00    3.58671700e+00    1.72145121e+00
34       1.50339776e-06    1.07377982e+00    3.47438431e+00    1.60223915e+00
