Index       TIME            {V(VI)+1}         {V(VO)+1}    
0        0.00000000e+00    1.50000000e+00    1.00000003e+00
1        1.00000000e-08    1.53139526e+00    1.00000003e+00
2        2.00000000e-08    1.56265521e+00    1.00000003e+00
3        3.00000000e-08    1.59366241e+00    1.00000003e+00
4        4.00000000e-08    1.62420131e+00    1.00000003e+00
5        5.00000000e-08    1.65450761e+00    1.00000003e+00
6        6.00000000e-08    1.68324292e+00    1.00000003e+00
7        7.00000000e-08    1.71197497e+00    1.00000003e+00
8        8.00000000e-08    1.74070703e+00    1.00000003e+00
9        9.00000000e-08    1.76682913e+00    1.00000003e+00
10       1.00000000e-07    1.79254698e+00    1.00000003e+00
11       1.10000000e-07    1.81826483e+00    1.00000003e+00
12       1.20000000e-07    1.84104222e+00    1.00000003e+00
13       1.30000000e-07    1.86275309e+00    1.00000003e+00
14       1.40000000e-07    1.88446397e+00    1.00000003e+00
15       1.50000000e-07    1.90325915e+00    1.00000003e+00
16       1.60000000e-07    1.92012496e+00    1.00000003e+00
17       1.70000000e-07    1.93699076e+00    1.00000003e+00
18       1.80000000e-07    1.95127485e+00    1.00000003e+00
19       1.90000000e-07    1.96264452e+00    1.00000003e+00
20       2.00000000e-07    1.97401419e+00    1.00000003e+00
21       2.10000000e-07    1.98337970e+00    1.00000003e+00
22       2.20000000e-07    1.98881435e+00    1.00000003e+00
23       2.30000000e-07    1.99424899e+00    1.00000003e+00
24       2.40000000e-07    1.99842005e+00    1.00000003e+00
25       2.50000000e-07    1.99770987e+00    1.00000003e+00
26       2.60000000e-07    1.99699970e+00    1.00000003e+00
27       2.70000000e-07    1.99583938e+00    1.00000003e+00
28       2.80000000e-07    1.98901180e+00    1.00000003e+00
29       2.90000000e-07    1.98218422e+00    1.00000003e+00
30       3.00000000e-07    1.97535664e+00    1.00000003e+00
31       3.10000000e-07    1.96301747e+00    1.00000003e+00
32       3.20000000e-07    1.95033604e+00    1.00000003e+00
33       3.30000000e-07    1.93765462e+00    1.00000003e+00
34       3.40000000e-07    1.92063088e+00    1.00000003e+00
35       3.50000000e-07    1.90258514e+00    1.00000003e+00
36       3.60000000e-07    1.88453941e+00    1.00000003e+00
37       3.70000000e-07    1.86333162e+00    1.00000003e+00
38       3.80000000e-07    1.84061819e+00    1.00000003e+00
39       3.90000000e-07    1.81790475e+00    1.00000003e+00
40       4.00000000e-07    1.79312383e+00    1.00000003e+00
41       4.10000000e-07    1.76661949e+00    1.00000003e+00
42       4.20000000e-07    1.74011515e+00    1.00000003e+00
43       4.30000000e-07    1.71246680e+00    1.00000003e+00
44       4.40000000e-07    1.68319469e+00    1.00000003e+00
45       4.50000000e-07    1.65392258e+00    1.00000003e+00
46       4.60000000e-07    1.62418979e+00    1.00000003e+00
47       4.70000000e-07    1.59327989e+00    1.00000003e+00
48       4.80000000e-07    1.56236998e+00    1.00000003e+00
49       4.90000000e-07    1.53139350e+00    1.00000003e+00
50       5.00000000e-07    1.50000063e+00    1.00000003e+00
51       5.10000000e-07    1.46861105e+00    1.00000003e+00
52       5.20000000e-07    1.43733508e+00    1.00000003e+00
53       5.30000000e-07    1.40630940e+00    1.99998782e+00
54       5.40000000e-07    1.37565556e+00    1.99998563e+00
55       5.50000000e-07    1.34549393e+00    1.99999041e+00
56       5.60000000e-07    1.31596088e+00    1.99998903e+00
57       5.70000000e-07    1.28721305e+00    1.99998644e+00
58       5.80000000e-07    1.25926803e+00    1.99998842e+00
59       5.90000000e-07    1.23225875e+00    1.99998781e+00
60       6.00000000e-07    1.20658054e+00    1.99998602e+00
61       6.10000000e-07    1.18204624e+00    1.99998845e+00
62       6.20000000e-07    1.15793690e+00    1.99999021e+00
63       6.30000000e-07    1.13645195e+00    1.99998777e+00
64       6.40000000e-07    1.11496699e+00    1.99998534e+00
65       6.50000000e-07    1.09647468e+00    1.99998708e+00
66       6.60000000e-07    1.07847999e+00    1.99998952e+00
67       6.70000000e-07    1.06270643e+00    1.99998915e+00
68       6.80000000e-07    1.04857130e+00    1.99998671e+00
69       6.90000000e-07    1.03565430e+00    1.99998571e+00
70       7.00000000e-07    1.02566880e+00    1.99998814e+00
71       7.10000000e-07    1.01573390e+00    1.99999052e+00
72       7.20000000e-07    1.01010296e+00    1.99998809e+00
73       7.30000000e-07    1.00447203e+00    1.99998565e+00
74       7.40000000e-07    1.00210286e+00    1.99998677e+00
75       7.50000000e-07    1.00094204e+00    1.99998920e+00
76       7.60000000e-07    1.00179337e+00    1.99998946e+00
